Data,"PRECIPITAÇÃO TOTAL, HORÁRIO (mm)","PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB)",PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB),PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB),"TEMPERATURA DO AR - BULBO SECO, HORARIA (°C)",TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C),TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C),"VENTO, RAJADA MAXIMA (m/s)","VENTO, VELOCIDADE HORARIA (m/s)",TEMPERATURA DO PONTO DE ORVALHO (°C),TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C),CHOVEU
2023-09-09,1.8,1010.1041666666666,1010.35,1009.8416666666667,24.900000000000002,25.537499999999998,24.416666666666668,9.299999999999999,4.320833333333334,21.520833333333332,21.104166666666668,1
2023-09-19,1.8,1007.2041666666668,1007.4291666666667,1007.025,25.570833333333336,26.116666666666664,25.054166666666664,8.404166666666667,3.9250000000000003,23.245833333333334,22.870833333333334,1
2023-09-12,1.8,1008.9791666666666,1009.2458333333334,1008.7375000000001,25.662499999999998,26.1375,25.229166666666668,8.633333333333333,4.0,22.4875,22.1125,1
2023-05-01,1.8,1006.7958333333332,1007.0708333333333,1006.5333333333333,27.708333333333332,28.166666666666668,27.333333333333332,6.1125,2.9875000000000003,23.59166666666667,23.245833333333334,1
2023-08-14,1.8,1008.2125,1008.4083333333333,1007.9541666666668,24.537499999999998,25.099999999999998,23.920833333333334,9.612499999999999,4.3125,21.495833333333334,21.079166666666666,1
2023-07-22,1.8,1011.2624999999999,1011.4583333333334,1011.0708333333333,25.429166666666664,25.929166666666664,24.96666666666667,9.6625,4.575,21.179166666666667,20.754166666666666,1
2023-07-24,1.8,1011.2166666666667,1011.4708333333333,1011.0041666666666,24.829166666666666,25.2625,24.454166666666666,9.483333333333333,4.708333333333333,21.6125,21.195833333333333,1
2023-08-10,1.8,1010.0625,1010.3208333333333,1009.8375,24.2625,24.670833333333334,23.8125,8.987499999999999,4.3125,21.941666666666666,21.6125,1
2023-06-12,1.6,1009.1291666666666,1009.3625000000001,1008.9250000000001,25.34583333333333,25.683333333333334,24.879166666666666,7.1000000000000005,3.3625000000000003,23.304166666666664,23.05,1
2023-06-01,1.6,1008.4291666666667,1008.6333333333333,1008.2208333333333,26.425,26.933333333333334,25.941666666666666,6.366666666666667,2.8958333333333335,23.508333333333336,23.150000000000002,1
2023-06-22,1.6,1009.35,1009.6090909090909,1009.1545454545455,25.29090909090909,25.727272727272727,24.745454545454546,8.60909090909091,4.027272727272727,22.472727272727273,22.09090909090909,1
2023-04-08,1.5999999999999999,1005.0916666666667,1005.3874999999999,1004.7666666666668,26.883333333333336,27.291666666666668,26.59166666666667,4.5125,2.058333333333333,24.791666666666668,24.491666666666664,1
2023-07-23,1.4,1011.4217391304348,1011.6130434782608,1011.2130434782609,25.069565217391304,25.460869565217394,24.656521739130437,10.060869565217391,4.908695652173913,21.40869565217391,21.069565217391304,1
2023-04-25,1.4,1006.7916666666666,1007.0208333333334,1006.5333333333333,26.78333333333333,27.370833333333334,26.3625,7.0874999999999995,3.4124999999999996,24.037499999999998,23.6875,1
2023-01-27,1.2,1005.7666666666668,1005.9666666666667,1005.5458333333332,27.583333333333332,28.083333333333332,27.145833333333332,6.641666666666667,3.4250000000000003,23.52916666666667,23.1375,1
2023-06-17,1.2,1008.4958333333334,1008.7083333333334,1008.25,25.054166666666664,25.379166666666666,24.758333333333336,7.645833333333333,3.2624999999999997,22.425,22.166666666666668,1
2023-06-18,1.2,1008.9458333333333,1009.1583333333333,1008.7166666666667,25.708333333333332,26.1375,25.391666666666666,6.2250000000000005,2.9250000000000003,23.508333333333336,23.1875,1
2023-07-07,1.2,1008.1,1008.2333333333335,1007.9,24.183333333333334,24.599999999999998,24.066666666666666,5.3999999999999995,2.4833333333333334,23.46666666666667,23.366666666666664,1
2023-05-20,1.2,1006.8416666666667,1007.1041666666666,1006.6208333333334,27.21666666666667,27.670833333333334,26.775000000000002,7.066666666666666,3.375,24.02916666666667,23.608333333333334,1
2023-07-10,1.2,1010.0375,1010.2125,1009.8416666666667,26.47083333333333,27.0625,26.05,7.729166666666667,3.691666666666667,22.433333333333334,22.116666666666664,1
2023-04-16,1.2,1004.9590909090908,1005.3136363636364,1004.7181818181817,26.55,27.00909090909091,26.213636363636365,5.609090909090909,2.5863636363636364,24.436363636363637,24.154545454545453,1
2023-05-27,1.2,1007.1125000000001,1007.3249999999999,1006.8791666666666,26.787499999999998,27.349999999999998,26.379166666666666,6.608333333333333,3.2416666666666667,23.829166666666666,23.40416666666667,1
2023-07-16,1.0,1009.5749999999999,1009.7791666666667,1009.3000000000001,26.858333333333334,27.337500000000002,26.508333333333336,9.5625,4.645833333333333,22.375,21.825,1
2023-06-19,1.0,1009.2875,1009.4875000000001,1009.0749999999999,26.333333333333332,26.675,25.983333333333334,7.166666666666667,3.5708333333333333,22.983333333333334,22.724999999999998,1
2023-03-20,0.8,1006.5416666666666,1006.7916666666666,1006.2833333333333,26.837500000000002,27.204166666666666,26.370833333333334,4.7875000000000005,2.341666666666667,23.212500000000002,22.758333333333336,1
2023-08-22,0.7999999999999999,1006.8874999999999,1007.1125000000001,1006.6833333333334,26.583333333333332,26.983333333333334,26.133333333333336,7.670833333333333,3.6458333333333335,22.712500000000002,22.254166666666666,1
2023-09-03,0.6000000000000001,1009.3000000000001,1009.5333333333333,1009.0833333333334,25.616666666666664,26.383333333333336,25.145833333333332,8.85,4.208333333333333,22.25,21.804166666666664,1
2023-08-16,0.6000000000000001,1009.2541666666666,1009.4708333333333,1009.0166666666668,25.066666666666666,25.59166666666667,24.604166666666668,8.7125,4.0874999999999995,20.779166666666665,20.2375,1
2023-07-17,0.6000000000000001,1010.5583333333334,1010.7791666666667,1010.3291666666668,24.96666666666667,25.420833333333334,24.495833333333334,7.879166666666666,3.641666666666667,21.8625,21.5625,1
2023-05-05,0.6000000000000001,1008.0833333333334,1008.3333333333334,1007.8583333333332,27.78333333333333,28.383333333333336,27.287499999999998,7.0625,3.220833333333333,23.925,23.40833333333333,1
